Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.953124782691399,,,,88.5,89.0,88.0,,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.953124782691399,,,,85.5,89.0,79.0,,,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.953124782691399,,,,81.0,89.0,77.0,,,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.953124782691399,,,,82.25,89.0,76.0,,,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.953124782691399,,,,81.5,84.0,76.0,,,,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.953124782691399,,,,82.75,87.0,81.0,,,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.953124782691399,,,,88.5,89.0,87.0,,,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.953124782691399,,,,87.25,88.0,87.0,,,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.953124782691399,,,,88.5,89.0,87.0,,,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.953124782691399,,,,81.0,82.0,78.0,,,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.9531247826914,,,,87.75,89.0,86.0,,,,9,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.953124782691397,,,,80.25,82.0,79.0,,,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.953124782691397,,,,86.5,89.0,85.0,,,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.953124782691397,,,,84.25,89.0,82.0,,,,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.953124782691397,,,,84.75,87.0,81.0,,,,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.953124782691397,,,,79.75,89.0,74.0,,,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.953124782691397,,,,84.0,89.0,80.0,,,,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.953124782691397,,,,89.0,89.0,89.0,,,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.953124782691397,,,,86.5,88.0,86.0,,,,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.953124782691397,,,,88.75,89.0,88.0,,,,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.953124782691397,,,,87.0,88.0,86.0,,,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.953124782691397,,,,84.5,89.0,77.0,,,,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.953124782691397,,,,87.0,89.0,85.0,,,,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.953124782691397,,,,85.5,89.0,83.0,,,,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.953124782691397,,,,88.75,89.0,88.0,,,,,,,,
