Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.953124782691399,,,,,,,,,,0,,,,
00:15:00.000+05:30,00:30:00.000+05:30,1,27.14901409758895,58.34791510873261,,,,,,0.2884592815485856,0.30389537980635706,0.26337600569914027,0,,,,326300
00:30:00.000+05:30,00:45:00.000+05:30,,13.953124782691399,16.410351124331047,,,,,,0.27350585207218414,0.27350585207218414,0.27350585207218414,0,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.953124782691399,,,,83.5,89.0,79.0,,,,0,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.953124782691399,38.29081929010578,,,84.0,85.0,83.0,0.29376554259549414,0.30389538674576033,0.283635698445228,0,,,,
01:15:00.000+05:30,01:30:00.000+05:30,4,14.741804627678013,108.18675926410837,,,87.5,88.0,86.0,0.33913775341476704,0.5237837169834612,0.30389537390304555,0,,,,19502
01:30:00.000+05:30,01:45:00.000+05:30,,14.379534396348403,,,,84.25,89.0,82.0,,,,0,,,,10544
01:45:00.000+05:30,02:00:00.000+05:30,,13.953124782691399,,,,88.5,89.0,88.0,,,,0,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.953124782691399,,,,89.0,89.0,89.0,,,,0,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.953124782691399,,,,88.0,89.0,85.0,,,,0,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.953124782691399,,,,86.0,89.0,82.0,,,,0,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.953124782691399,,,,86.0,89.0,81.0,,,,0,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.953124782691399,,,,84.0,89.0,78.0,,,,0,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.953124782691399,,,,73.75,77.0,72.0,,,,0,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.953124782691399,,,,88.5,89.0,88.0,,,,0,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.953124782691399,,,,83.0,86.0,80.0,,,,0,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.953124782691399,,,,82.5,89.0,76.0,,,,0,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.953124782691399,,,,85.5,88.0,82.0,,,,0,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.953124782691399,,,,87.5,88.0,86.0,,,,0,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.953124782691399,,,,85.5,89.0,82.0,,,,0,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.953124782691399,,,,83.25,89.0,76.0,,,,0,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.953124782691399,,,,86.75,88.0,84.0,,,,0,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.953124782691399,,,,87.25,89.0,84.0,,,,0,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.953124782691399,,,,86.5,89.0,84.0,,,,0,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.953124782691399,,,,81.75,89.0,76.0,,,,0,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,13.953124782691399,,,,86.25,89.0,80.0,,,,0,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,13.953124782691399,,,,86.0,89.0,81.0,,,,0,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,13.953124782691399,,,,86.0,89.0,83.0,,,,0,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,13.953124782691399,,,,85.75,87.0,83.0,,,,0,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,13.953124782691399,,,,87.5,89.0,85.0,,,,0,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,13.953124782691399,,,,87.25,88.0,85.0,,,,0,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,13.953124782691399,,,,88.0,89.0,85.0,,,,0,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,13.953124782691399,,,,85.0,85.0,85.0,,,,0,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,13.953124782691399,,,,85.5,89.0,81.0,,,,0,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,13.953124782691399,,,,87.5,88.0,86.0,,,,0,,,,
08:45:00.000+05:30,09:00:00.000+05:30,,13.953124782691399,19.449305036244205,,,89.0,89.0,89.0,0.3038953717420119,0.3038953717420119,0.3038953717420119,0,,,,
09:00:00.000+05:30,09:15:00.000+05:30,,13.953124782691399,6.077907823826314,,,87.75,88.0,87.0,,,,0,,,,
09:15:00.000+05:30,09:30:00.000+05:30,,13.953124782691399,,,,87.75,88.0,87.0,,,,0,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,13.953124782691399,,,,81.75,88.0,71.0,,,,0,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,13.953124782691399,,,,88.25,89.0,88.0,,,,0,,,,
10:00:00.000+05:30,10:15:00.000+05:30,,13.953124782691399,,,,83.5,88.0,78.0,,,,0,,,,
10:15:00.000+05:30,10:30:00.000+05:30,,13.953124782691399,,,,86.0,89.0,85.0,,,,0,,,,
10:30:00.000+05:30,10:45:00.000+05:30,,13.953124782691399,,,,83.5,85.0,83.0,,,,0,,,,
10:45:00.000+05:30,11:00:00.000+05:30,,13.953124782691399,,,,83.75,89.0,82.0,,,,0,,,,
11:00:00.000+05:30,11:15:00.000+05:30,,13.953124782691399,,,,89.5,90.0,89.0,,,,0,,,,
11:15:00.000+05:30,11:30:00.000+05:30,,13.953124782691399,,,,84.75,89.0,82.0,,,,0,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,13.953124782691399,7.901280170974208,,,85.5,88.0,83.0,0.49529859358290346,0.49529859358290346,0.49529859358290346,0,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,13.953124782691399,,,,81.25,85.0,78.0,,,,0,,,,
12:00:00.000+05:30,12:15:00.000+05:30,,13.953124782691399,,,,88.75,89.0,88.0,,,,0,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,13.953124782691399,,,,86.25,88.0,84.0,,,,1,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,13.953124782691399,,,,89.0,89.0,89.0,,,,6,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,13.953124782691399,,,,,,,,,,6,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,13.953124782691399,,,,,,,,,,6,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,13.953124782691399,,,,,,,,,,6,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,13.953124782691399,,,,,,,,,,0,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,13.953124782691399,,,,98.0,98.0,98.0,,,,0,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,13.953124782691399,,,,88.75,89.0,88.0,,,,0,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,13.953124782691399,,,,88.0,89.0,87.0,,,,0,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,13.953124782691399,,,,89.0,89.0,89.0,,,,0,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,13.9531247826914,,,,,,,,,,0,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,13.953124782691399,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,13.953124782691399,5.470117041443682,,,,,,0.24957921941790132,0.24957921941790132,0.24957921941790132,10,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,13.953124782691399,,,,,,,,,,9,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,13.953124782691399,,,,,,,,,,10,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,13.9531247826914,,,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,13.9531247826914,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,13.9531247826914,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,13.9531247826914,,,,,,,,,,,,,,
