Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.9531247826914,,,,81.5,89.0,74.0,,,,20,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.9531247826914,,,,84.25,86.0,82.0,,,,20,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.9531247826914,,,,85.75,89.0,80.0,,,,20,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.9531247826914,,,,87.75,89.0,85.0,,,,20,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.9531247826914,,,,86.75,89.0,80.0,,,,20,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.9531247826914,,,,86.5,89.0,80.0,,,,20,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.9531247826914,,,,84.75,87.0,79.0,,,,20,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.9531247826914,,,,86.75,89.0,85.0,,,,20,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.9531247826914,,,,85.75,88.0,84.0,,,,20,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.9531247826914,,,,88.75,89.0,88.0,,,,20,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.9531247826914,,,,83.5,88.0,78.0,,,,20,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.9531247826914,,,,88.25,89.0,86.0,,,,20,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.9531247826914,,,,86.5,89.0,83.0,,,,20,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.9531247826914,,,,84.0,88.0,80.0,,,,20,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.9531247826914,,,,85.25,88.0,80.0,,,,20,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.9531247826914,,,,86.25,89.0,79.0,,,,20,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.9531247826914,,,,84.25,88.0,79.0,,,,20,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.9531247826914,,,,86.25,89.0,78.0,,,,20,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.9531247826914,,,,88.25,89.0,88.0,,,,20,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.9531247826914,,,,88.25,89.0,88.0,,,,20,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.9531247826914,,,,85.0,87.0,81.0,,,,20,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.9531247826914,,,,85.5,89.0,83.0,,,,20,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.9531247826914,,,,83.75,87.0,81.0,,,,20,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.9531247826914,,,,82.75,88.0,79.0,,,,20,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.9531247826914,,,,86.25,88.0,85.0,,,,20,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,13.9531247826914,,,,85.5,89.0,80.0,,,,20,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,13.9531247826914,,,,88.25,89.0,88.0,,,,20,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,13.9531247826914,,,,87.5,89.0,84.0,,,,20,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,13.9531247826914,,,,80.0,86.0,78.0,,,,20,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,13.9531247826914,,,,83.5,88.0,73.0,,,,20,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,13.9531247826914,,,,87.75,89.0,86.0,,,,20,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,13.9531247826914,,,,88.0,89.0,87.0,,,,20,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,13.9531247826914,,,,87.25,88.0,86.0,,,,20,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,13.9531247826914,,,,86.5,89.0,85.0,,,,20,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,13.9531247826914,3.6467446942957884,,,79.25,88.0,75.0,0.3086508844765333,0.3086508844765333,0.3086508844765333,20,,,,
08:45:00.000+05:30,09:00:00.000+05:30,,13.9531247826914,,,,95.25,107.0,86.0,,,,20,,,,
