Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
13:45:00.000+05:30,14:00:00.000+05:30,,13.953124782691399,,,,86.0,97.0,73.0,,,,61,,,
14:00:00.000+05:30,14:15:00.000+05:30,,13.953124782691399,,,,90.0,95.0,86.0,,,,61,,,
14:15:00.000+05:30,14:30:00.000+05:30,,13.953124782691399,,,,89.25,93.0,87.0,,,,61,,,
14:30:00.000+05:30,14:45:00.000+05:30,,13.953124782691399,,,,84.75,94.0,79.0,,,,61,,,
14:45:00.000+05:30,15:00:00.000+05:30,,13.953124782691399,,,,88.0,97.0,74.0,,,,61,,,
15:00:00.000+05:30,15:15:00.000+05:30,,13.953124782691399,,,,84.75,90.0,82.0,,,,61,,,
15:15:00.000+05:30,15:30:00.000+05:30,,13.953124782691399,,,,84.75,103.0,76.0,,,,61,,,
15:30:00.000+05:30,15:45:00.000+05:30,,13.953124782691399,,,,77.75,83.0,74.0,,,,61,,,
15:45:00.000+05:30,16:00:00.000+05:30,,13.953124782691399,,,,80.25,94.0,75.0,,,,61,,,
16:00:00.000+05:30,16:15:00.000+05:30,,13.953124782691399,,,,90.5,96.0,80.0,,,,61,,,
16:15:00.000+05:30,16:30:00.000+05:30,,13.953124782691399,1.8784681903827254,,,97.0,100.0,94.0,,,,61,,,
16:30:00.000+05:30,16:45:00.000+05:30,,13.953124782691399,,,,,,,,,,48,,,
16:45:00.000+05:30,17:00:00.000+05:30,,13.9531247826914,,,,,,,,,,13,,,
17:00:00.000+05:30,17:15:00.000+05:30,,13.9531247826914,15.212962118570386,,,,,,0.3038953617545326,0.3038953617545326,0.3038953617545326,25,,,
17:15:00.000+05:30,17:30:00.000+05:30,,13.953124782691399,7.275296829586975,,,,,,,,,12,,,
17:30:00.000+05:30,17:45:00.000+05:30,,13.953124782691399,,,,,,,,,,,,,
