Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.9531247826914,,,,70.5,72.0,69.0,,,,3,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.9531247826914,,,,82.5,95.0,67.0,,,,3,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.9531247826914,,,,93.75,106.0,67.0,,,,3,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.9531247826914,,,,68.0,72.0,65.0,,,,3,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.9531247826914,,,,73.25,83.0,66.0,,,,3,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.9531247826914,,,,103.0,129.0,67.0,,,,3,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.9531247826914,,,,77.5,88.0,70.0,,,,3,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.9531247826914,,,,72.0,81.0,69.0,,,,3,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.9531247826914,,,,101.75,115.0,75.0,,,,3,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.9531247826914,,,,69.25,72.0,67.0,,,,3,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.9531247826914,,,,76.75,87.0,66.0,,,,3,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.9531247826914,,,,84.75,89.0,80.0,,,,3,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.9531247826914,,,,82.5,96.0,66.0,,,,3,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.9531247826914,,,,63.25,68.0,61.0,,,,3,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.9531247826914,,,,66.75,69.0,66.0,,,,3,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.9531247826914,,,,66.25,68.0,65.0,,,,3,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.9531247826914,,,,72.25,78.0,65.0,,,,3,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.9531247826914,,,,66.5,72.0,64.0,,,,3,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.9531247826914,,,,68.5,79.0,64.0,,,,3,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.9531247826914,,,,76.75,84.0,60.0,,,,3,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.9531247826914,,,,66.25,67.0,64.0,,,,3,,,,
