Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
00:00:00.000+05:30,00:15:00.000+05:30,,,,,,,,,,,,2,,,
00:15:00.000+05:30,00:30:00.000+05:30,,,,,,,,,,,,2,,,
00:30:00.000+05:30,00:45:00.000+05:30,,,,,,,,,,,,2,,,
00:45:00.000+05:30,01:00:00.000+05:30,,,,,,,,,,,,2,,,
01:00:00.000+05:30,01:15:00.000+05:30,,,,,,,,,,,,2,,,
01:15:00.000+05:30,01:30:00.000+05:30,,,,,,,,,,,,2,,,
01:30:00.000+05:30,01:45:00.000+05:30,,,,,,,,,,,,2,,,
01:45:00.000+05:30,02:00:00.000+05:30,,,,,,,,,,,,2,,,
02:00:00.000+05:30,02:15:00.000+05:30,,,,,,,,,,,,2,,,
02:15:00.000+05:30,02:30:00.000+05:30,,,,,,,,,,,,2,,,
02:30:00.000+05:30,02:45:00.000+05:30,,,,,,,,,,,,2,,,
02:45:00.000+05:30,03:00:00.000+05:30,,,,,,,,,,,,2,,,
03:00:00.000+05:30,03:15:00.000+05:30,,,,,,,,,,,,2,,,
03:15:00.000+05:30,03:30:00.000+05:30,,,,,,,,,,,,2,,,
03:30:00.000+05:30,03:45:00.000+05:30,,,,,,,,,,,,2,,,
03:45:00.000+05:30,04:00:00.000+05:30,,,,,,,,,,,,2,,,
04:00:00.000+05:30,04:15:00.000+05:30,,,,,,,,,,,,2,,,
04:15:00.000+05:30,04:30:00.000+05:30,,,,,,,,,,,,2,,,
04:30:00.000+05:30,04:45:00.000+05:30,,,,,,,,,,,,2,,,
04:45:00.000+05:30,05:00:00.000+05:30,,,,,,,,,,,,2,,,
05:00:00.000+05:30,05:15:00.000+05:30,,,,,,,,,,,,2,,,
05:15:00.000+05:30,05:30:00.000+05:30,,,,,,,,,,,,2,,,
05:30:00.000+05:30,05:45:00.000+05:30,,,,,,,,,,,,2,,,
05:45:00.000+05:30,06:00:00.000+05:30,,,,,,,,,,,,2,,,
06:00:00.000+05:30,06:15:00.000+05:30,,,,,,,,,,,,2,,,
06:15:00.000+05:30,06:30:00.000+05:30,,,,,,,,,,,,2,,,
06:30:00.000+05:30,06:45:00.000+05:30,,,,,,,,,,,,2,,,
06:45:00.000+05:30,07:00:00.000+05:30,,,,,,,,,,,,2,,,
07:00:00.000+05:30,07:15:00.000+05:30,,,,,,,,,,,,2,,,
07:15:00.000+05:30,07:30:00.000+05:30,,,,,,,,,,,,2,,,
07:30:00.000+05:30,07:45:00.000+05:30,,,,,,,,,,,,2,,,
07:45:00.000+05:30,08:00:00.000+05:30,,,,,,,,,,,,2,,,
08:00:00.000+05:30,08:15:00.000+05:30,,,,,,,,,,,,2,,,
08:15:00.000+05:30,08:30:00.000+05:30,,,,,,,,,,,,2,,,
08:30:00.000+05:30,08:45:00.000+05:30,,,35.9625906474308,,,,,,,,,58,,,
08:45:00.000+05:30,09:00:00.000+05:30,,,255.90888059938428,,,75.0,75.0,75.0,,,,408,,,
09:00:00.000+05:30,09:15:00.000+05:30,,,255.90888059938428,,,,,,0.2843432006659825,0.2843432006659825,0.2843432006659825,408,,,
09:15:00.000+05:30,09:30:00.000+05:30,,,245.56419061595514,,,,,,,,,391,,,
09:30:00.000+05:30,09:45:00.000+05:30,,,,,,,,,,,,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,,,,,,,,,,,,,,
10:00:00.000+05:30,10:15:00.000+05:30,,,,,,,,,,,,,,,
10:15:00.000+05:30,10:30:00.000+05:30,,,,,,,,,,,,,,,
10:30:00.000+05:30,10:45:00.000+05:30,,,,,,,,,,,,,,,
10:45:00.000+05:30,11:00:00.000+05:30,,,,,,,,,,,,,,,
11:00:00.000+05:30,11:15:00.000+05:30,,,,,,,,,,,,,,,
11:15:00.000+05:30,11:30:00.000+05:30,,,,,,,,,,,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,,,,,,,,,,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,,,,,,,,,,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,,,,,,,,,,,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,,,,,,,,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,,,,,,,,,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,,,,,,,,,,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,,,,,,,,,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,,,,,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,,,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,,,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,,,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,,,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,,,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,,,,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,,,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,,,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,,,,,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,,,,,,,,,,,,,,
