Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.953124782691399,,,,83.5,89.0,78.0,,,,68,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.953124782691399,,,,86.75,89.0,84.0,,,,68,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.953124782691399,,,,80.75,87.0,76.0,,,,68,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.953124782691399,,,,88.5,89.0,87.0,,,,68,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.953124782691399,,,,87.75,89.0,87.0,,,,68,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.953124782691399,,,,88.5,89.0,87.0,,,,68,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.953124782691399,,,,85.0,89.0,82.0,,,,68,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.953124782691399,,,,88.5,89.0,87.0,,,,68,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.953124782691399,,,,87.75,89.0,86.0,,,,68,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.953124782691399,,,,88.75,89.0,88.0,,,,68,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.953124782691399,,,,83.25,88.0,79.0,,,,68,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.953124782691399,,,,88.5,89.0,87.0,,,,68,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.953124782691399,,,,87.75,89.0,84.0,,,,68,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.953124782691399,,,,86.0,88.0,82.0,,,,68,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.953124782691399,,,,88.25,89.0,88.0,,,,68,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.953124782691399,,,,88.75,89.0,88.0,,,,68,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.953124782691399,,,,88.5,89.0,87.0,,,,68,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.953124782691399,,,,85.5,88.0,83.0,,,,68,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.953124782691399,,,,87.0,89.0,83.0,,,,68,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.953124782691399,,,,88.5,89.0,88.0,,,,68,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.953124782691399,,,,86.75,89.0,82.0,,,,68,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.953124782691399,,,,89.0,89.0,89.0,,,,68,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.953124782691399,,,,87.75,89.0,87.0,,,,68,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.953124782691399,,,,85.75,89.0,83.0,,,,68,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.953124782691399,,,,87.5,89.0,84.0,,,,68,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,13.953124782691399,,,,86.25,89.0,80.0,,,,68,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,13.953124782691399,19.449305036244205,,,87.0,87.0,87.0,0.3038953717420119,0.3038953717420119,0.3038953717420119,68,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,13.953124782691399,,,,87.75,89.0,85.0,,,,68,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,13.953124782691399,,,,86.5,88.0,83.0,,,,68,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,13.953124782691399,,,,86.75,89.0,86.0,,,,68,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,13.953124782691399,,,,85.75,88.0,85.0,,,,68,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,13.953124782691399,,,,81.5,86.0,77.0,,,,68,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,13.953124782691399,,,,,,,,,,68,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,13.953124782691399,,,,,,,,,,68,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,13.953124782691399,15.310312911903997,,,,,,0.29376554481827183,0.29376554481827183,0.29376554481827183,68,,,,
08:45:00.000+05:30,09:00:00.000+05:30,10,13.953124782691399,354.6077015761167,,,83.0,90.0,76.0,0.561439780009531,1.2255904570359448,0.26337600569914027,68,,,,
09:00:00.000+05:30,09:15:00.000+05:30,13,13.953124782691399,501.3468345384965,,,82.25,101.0,68.0,0.7055810527953214,1.4813005620308501,0.30389538479702377,68,,,,
09:15:00.000+05:30,09:30:00.000+05:30,5,13.953124782691399,309.50393196669654,4.0,4,96.0,105.0,78.0,1.2739224459424012,1.3641099507074312,1.1382079313569358,68,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,13.953124782691399,,,,105.0,107.0,99.0,,,,68,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,13.953124782691399,,,,96.25,99.0,88.0,,,,68,,,,
10:00:00.000+05:30,10:15:00.000+05:30,,13.953124782691399,,,,84.0,86.0,78.0,,,,68,,,,
10:15:00.000+05:30,10:30:00.000+05:30,,13.953124782691399,,,,88.25,107.0,72.0,,,,68,,,,
10:30:00.000+05:30,10:45:00.000+05:30,,13.953124782691399,,,,94.75,104.0,75.0,,,,68,,,,
10:45:00.000+05:30,11:00:00.000+05:30,5,18.950265659303394,179.14703257593328,1.0,1,86.0,104.0,70.0,0.6551688705598251,1.1362060514141068,0.303895372519984,68,,,,123567
11:00:00.000+05:30,11:15:00.000+05:30,1,13.9531247826914,37.075237725340514,,,90.0,95.0,82.0,0.3118750019120313,0.3198546437516318,0.30389536007243084,68,,,,
11:15:00.000+05:30,11:30:00.000+05:30,,13.9531247826914,,,,87.0,102.0,82.0,,,,68,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,13.9531247826914,,,,87.0,94.0,80.0,,,,68,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,13.9531247826914,,,,77.5,79.0,76.0,,,,68,,,,
12:00:00.000+05:30,12:15:00.000+05:30,7,13.9531247826914,234.61497864053035,,,91.25,94.0,88.0,0.7367583765081626,1.078070449271467,0.3038953652589112,68,,,,
12:15:00.000+05:30,12:30:00.000+05:30,1,13.9531247826914,25.35378388740215,,,89.75,95.0,78.0,,,,68,,,,
12:30:00.000+05:30,12:45:00.000+05:30,10,19.65756659452771,510.2549112465846,2.0,2,92.0,116.0,84.0,0.8976335817579778,1.5578497576730437,0.3038953875728404,68,,,,141056
12:45:00.000+05:30,13:00:00.000+05:30,,13.953124782691399,,,,90.0,101.0,73.0,,,,68,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,13.953124782691399,,,,88.5,98.0,72.0,,,,68,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,13.953124782691399,,,,88.75,96.0,83.0,,,,68,,,,
13:30:00.000+05:30,13:45:00.000+05:30,1,14.589706130242128,42.92334250157937,,,95.5,104.0,85.0,0.30389540316011926,0.30389540316011926,0.30389540316011926,68,,,,15741
13:45:00.000+05:30,14:00:00.000+05:30,1,16.966341199987454,19.55724783943435,,,95.0,103.0,81.0,0.4829082555680564,0.4829082555680564,0.4829082555680564,68,,,,74509
14:00:00.000+05:30,14:15:00.000+05:30,,13.953124782691399,,,,90.5,97.0,74.0,,,,68,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,13.953124782691399,,,,80.0,95.0,73.0,,,,68,,,,
14:30:00.000+05:30,14:45:00.000+05:30,4,13.953124782691399,124.07555915377876,,,87.75,99.0,83.0,0.6888473660070139,0.959139059054889,0.30389539860057496,68,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,13.953124782691399,,,,86.75,99.0,81.0,,,,68,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,13.953124782691399,,,,88.75,102.0,74.0,,,,68,,,,
15:15:00.000+05:30,15:30:00.000+05:30,1,17.127902884979836,58.53335072554164,,,92.25,98.0,88.0,0.48649958138409954,0.9804933347451696,0.3038953770463672,68,,,,78504
